Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Drug,Explanation,Level
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",COVID-19,Pneumonia,Hypertension,Urinary Tract Infection,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Easy
"Patient presents with epigastric pain, worse on empty stomach, relieved by food. What is the most likely disease?",Rheumatoid Arthritis,Measles,Urinary Tract Infection,Peptic Ulcer,Peptic Ulcer,Omeprazole,Peptic ulcer causes epigastric burning related to meals.,Moderate
"Patient presents with polyuria, polydipsia, unexplained weight loss, and fatigue. What is the most likely disease?",Tuberculosis,Asthma,Urinary Tract Infection,Diabetes Mellitus,Diabetes Mellitus,Metformin,"Classic triad of diabetes includes polyuria, polydipsia and weight loss.",Moderate
"Patient presents with fatigue, weight gain, cold intolerance, constipation and dry skin. What is the most likely disease?",Rheumatoid Arthritis,Hypothyroidism,Urinary Tract Infection,Peptic Ulcer,Hypothyroidism,Levothyroxine,Hypothyroidism leads to slowed metabolism.,Hard
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Measles,Asthma,Tuberculosis,Urinary Tract Infection,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Moderate
"Patient presents with fever, itchy vesicular rash, lesions in different stages. What is the most likely disease?",Hepatitis B,Rheumatoid Arthritis,Chickenpox,Asthma,Chickenpox,Supportive (Acyclovir if severe),Chickenpox shows vesicles in crops at different stages.,Easy
"Patient presents with fever, cough, coryza, conjunctivitis, Koplik spots, rash. What is the most likely disease?",Asthma,Measles,Urinary Tract Infection,Tuberculosis,Measles,Supportive (Vitamin A),"Measles presents with fever, cough, coryza, conjunctivitis and rash.",Hard
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Appendicitis,Hypertension,Chickenpox,Epilepsy,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Moderate
"Patient presents with joint pain, morning stiffness, swelling of small joints. What is the most likely disease?",Rheumatoid Arthritis,Malaria,Hypothyroidism,Diabetes Mellitus,Rheumatoid Arthritis,Methotrexate,RA causes chronic inflammatory arthritis.,Hard
"Patient presents with dysuria, frequency, urgency and suprapubic pain. What is the most likely disease?",Measles,COVID-19,Pneumonia,Urinary Tract Infection,Urinary Tract Infection,Nitrofurantoin,UTI presents with dysuria and urinary frequency.,Moderate
"Patient presents with headache, dizziness, blurred vision, elevated BP readings. What is the most likely disease?",Hepatitis B,Hypertension,Chickenpox,Malaria,Hypertension,Amlodipine,"Hypertension is often asymptomatic but may cause headache, dizziness.",Hard
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",Migraine,Appendicitis,Epilepsy,Anemia,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Moderate
"Patient presents with polyuria, polydipsia, unexplained weight loss, and fatigue. What is the most likely disease?",Migraine,Appendicitis,Hepatitis B,Diabetes Mellitus,Diabetes Mellitus,Metformin,"Classic triad of diabetes includes polyuria, polydipsia and weight loss.",Moderate
"Patient presents with fever, dry cough, loss of smell, sore throat, shortness of breath. What is the most likely disease?",Anemia,Hypertension,COVID-19,Urinary Tract Infection,COVID-19,"Supportive, antivirals in severe cases","COVID-19 commonly presents with fever, cough, anosmia.",Easy
"Patient presents with recurrent seizures, loss of consciousness, jerky movements. What is the most likely disease?",COVID-19,Migraine,Pneumonia,Epilepsy,Epilepsy,Valproate,Epilepsy is characterized by recurrent seizures.,Easy
"Patient presents with headache, dizziness, blurred vision, elevated BP readings. What is the most likely disease?",Asthma,Appendicitis,Tuberculosis,Hypertension,Hypertension,Amlodipine,"Hypertension is often asymptomatic but may cause headache, dizziness.",Hard
"Patient presents with high-grade fever, severe myalgia, retro-orbital pain and thrombocytopenia. What is the most likely disease?",Appendicitis,Measles,Dengue,Hypertension,Dengue,Supportive care,Dengue is viral; management is supportive.,Easy
"Patient presents with fever, itchy vesicular rash, lesions in different stages. What is the most likely disease?",Chickenpox,Dengue,Peptic Ulcer,Migraine,Chickenpox,Supportive (Acyclovir if severe),Chickenpox shows vesicles in crops at different stages.,Easy
"Patient presents with fever, dry cough, loss of smell, sore throat, shortness of breath. What is the most likely disease?",Measles,Migraine,Epilepsy,COVID-19,COVID-19,"Supportive, antivirals in severe cases","COVID-19 commonly presents with fever, cough, anosmia.",Hard
"Patient presents with jaundice, dark urine, fatigue, abdominal pain. What is the most likely disease?",Typhoid Fever,Hepatitis B,Appendicitis,COVID-19,Hepatitis B,Tenofovir,Hepatitis B causes jaundice and liver inflammation.,Easy
"Patient presents with pain starting around umbilicus and localizing to right lower abdomen, nausea. What is the most likely disease?",Typhoid Fever,Chickenpox,COVID-19,Appendicitis,Appendicitis,Surgical appendectomy,Appendicitis causes migratory RLQ pain.,Easy
"Patient presents with fatigue, weight gain, cold intolerance, constipation and dry skin. What is the most likely disease?",Epilepsy,Hypothyroidism,Hypertension,Urinary Tract Infection,Hypothyroidism,Levothyroxine,Hypothyroidism leads to slowed metabolism.,Hard
"Patient presents with fever, itchy vesicular rash, lesions in different stages. What is the most likely disease?",Dengue,Chickenpox,Hypertension,Typhoid Fever,Chickenpox,Supportive (Acyclovir if severe),Chickenpox shows vesicles in crops at different stages.,Easy
"Patient presents with persistent cough for weeks, blood in sputum, night sweats, and weight loss. What is the most likely disease?",Diabetes Mellitus,Tuberculosis,Appendicitis,Hypothyroidism,Tuberculosis,Rifampicin,"TB commonly presents with chronic cough, hemoptysis, night sweats and weight loss.",Moderate
"Patient presents with episodic wheeze, shortness of breath, chest tightness and cough, worse at night. What is the most likely disease?",Migraine,Asthma,Diabetes Mellitus,Hypertension,Asthma,Inhaled Salbutamol,Asthma causes reversible airway obstruction causing wheeze and episodic dyspnea.,Hard
"Patient presents with prolonged high fever, abdominal pain, coated tongue and relative bradycardia. What is the most likely disease?",Rheumatoid Arthritis,Diabetes Mellitus,Typhoid Fever,Hepatitis B,Typhoid Fever,Ceftriaxone,Typhoid presents as sustained high fever and abdominal symptoms.,Easy
"Patient presents with intermittent high fever with chills, sweats, headache, and anemia. What is the most likely disease?",Dengue,Malaria,Rheumatoid Arthritis,Urinary Tract Infection,Malaria,Artemisinin-based combination therapy,"Malaria presents with cyclical fevers, chills and anemia.",Hard
"Patient presents with fever, itchy vesicular rash, lesions in different stages. What is the most likely disease?",Dengue,Chickenpox,Hypertension,Typhoid Fever,Chickenpox,Supportive (Acyclovir if severe),Chickenpox shows vesicles in crops at different stages.,Easy
"Patient presents with acute fever, productive cough, pleuritic chest pain and consolidation on chest exam. What is the most likely disease?",Typhoid Fever,Rheumatoid Arthritis,Tuberculosis,Pneumonia,Pneumonia,Amoxicillin,"Typical pneumonia presents with fever, productive cough, and chest findings.",Moderate
